phi_c,cluster_size
0.0,1.0231430325352975
0.1,1.035857027657347
0.15,1.0495795730710558
0.2,1.070939773693533
0.225,1.1044678697394557
0.25,1.1710850823139238
0.275,1.4123349454814305
0.3,3.3546292118624024
0.325,4.461337705356844
0.35,4.49830304911374
0.375,4.531046107003045
0.4,4.130206279027026
