phi_c,cluster_size
0.0,1.035032028425551
0.1,1.0596698770489636
0.15,1.1064016223948911
0.2,1.2923694862158628
0.225,1.8503400857060384
0.25,4.889499520838631
0.275,4.8772422672870395
0.3,4.4803763440860225
0.325,4.649547375615472
0.35,4.249093898848095
0.375,4.581363386476086
0.4,4.988053849952366
