phi_c,direct_contact
0.0,0.015915681686366222
0.1,0.0317673646527069
0.15,0.049847003059938756
0.2,0.12359752804943895
0.225,0.27179256414871694
0.25,2.270894582108358
0.275,3.50214995700086
0.3,3.5764464710705783
0.325,3.531765364692706
0.35,3.5472470550588993
0.375,3.5141517169656606
0.4,3.5536089278214433
