phi_c,cluster_size
0.0,1.0060376139880696
0.1,1.0139090328870026
0.15,1.014290561048674
0.2,1.024036209196173
0.225,1.0281840165822203
0.25,1.0427584998759143
0.275,1.100575754690973
0.3,1.2845348310709919
0.325,4.048131318753605
0.35,4.837593152040094
0.375,4.689733424386874
0.4,4.6444942943528735
