phi_c,cluster_size
0.0,1.0022449838641785
0.1,1.0034986279939413
0.15,1.0040376566832179
0.2,1.0046448827175904
0.225,1.0048811123811436
0.25,1.0057998287157148
0.275,1.0069310714086128
0.3,1.0065631638465846
0.325,1.0087817740989362
0.35,1.0083260861345333
0.375,1.0092068095876765
0.4,1.01202463623502
