phi_c,gyr
0.0,1.0
0.1,0.9226331886696444
0.15,0.875852308925278
0.2,0.8640228363307789
0.225,0.8428135702005625
0.25,0.8189546853178021
0.275,0.7565700012732111
0.3,0.5030199226636624
0.325,0.4422759355535748
0.35,0.4387305944604225
0.375,0.4308002531605042
0.4,0.4492433744668708
