phi_c,direct_contact
0.0,0.01494970100597984
0.1,0.020667586648267
0.15,0.023317533649326965
0.2,0.026921461570768544
0.225,0.02879142417151652
0.25,0.030065398692026127
0.275,0.032208355832883305
0.3,0.03581128377432448
0.325,0.04164416711665763
0.35,0.04648507029859401
0.375,0.05481190376192473
0.4,0.07708945821083575
