lineage_name,whole,ensemble_long,ensemble,space,nmon,epsilon,dcyl,lcyl,dcrowd,ncrowd,dt,bdump,adump,ensemble_id,dmon,mmon,eps_others,mcrowd,dwall,phi_m_bulk,rho_m_bulk,phi_c_bulk,rho_c_bulk,n_frames,asphericityMon-mean,asphericityMon-var,asphericityMon-sem,fsdMon-mean,fsdMon-var,fsdMon-sem,gyrMon-mean,gyrMon-var,gyrMon-sem,rfloryMon-mean,rfloryMon-var,rfloryMon-sem,shapeMon-mean,shapeMon-var,shapeMon-sem,transSizeMon-mean,transSizeMon-var,transSizeMon-sem,n_segments,phi_c_bulk_round
N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens1.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000,N1000D15.0ac1.0nc0,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,0,0.005,5000,10000,1,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.0,0.0,46000,0.9863244147084528,1.1336058950366501e-05,1.5698452839710355e-05,190.88426598358154,330.92841785444836,0.0848189391415986,55.94308332197938,32.34009896318854,0.026515295841597487,182.20411585451208,442.17630025864247,0.09804456761616578,1.959119849066832,0.00010049224369269437,4.674036249282244e-05,6.879811269811962,0.08185438979374057,0.0013339722413812372,,0.0
N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens2.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000,N1000D15.0ac1.0nc0,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,0,0.005,5000,10000,2,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.0,0.0,46000,0.9863867149687517,1.0646868269590704e-05,1.5213766454932426e-05,190.99535592883566,308.637606924173,0.08191250854513708,56.01881992988306,31.118281795271972,0.026009596178252516,182.1917879071443,408.3368823423348,0.09421826641692167,1.9593049602626984,9.440254652877067e-05,4.5302029612527275e-05,6.879097332726354,0.08037065705010607,0.0013218268343165305,,0.0
N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens3.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000,N1000D15.0ac1.0nc0,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,0,0.005,5000,10000,3,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.0,0.0,46000,0.9862581103110734,1.217714655802609e-05,1.627041278728539e-05,190.46703013279128,355.7160780128676,0.08793819607606797,55.95395327581583,35.78423501608867,0.027891487306264187,181.24582324782662,500.297861782169,0.10428939022895808,1.9589229029382458,0.00010794893062013655,4.8443440213492066e-05,6.887542220862016,0.08165953818592897,0.0013323835574530164,,0.0
N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens4.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc0dt0.005bdump5000adump10000,N1000D15.0ac1.0nc0,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,0,0.005,5000,10000,4,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.0,0.0,46000,0.9862214464290234,1.1981553539279124e-05,1.6139213663766685e-05,190.55103784710428,361.20019285050813,0.088613479836201,55.863065987141326,36.93657686431166,0.028337016753644126,181.67931565475465,491.40571931933,0.10335843104002913,1.958813513054665,0.00010623276580026713,4.805682217741667e-05,6.884397038356117,0.08159320336106574,0.0013318422772277665,,0.0
N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens1.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000,N1000D15.0ac1.0nc20824,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,20824,0.005,5000,10000,1,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.1147972965523324,0.2192466863986788,46000,0.9816909495157572,2.0589131854417225e-05,2.1156548710675528e-05,168.75945328986126,326.81713438178815,0.08429041918537859,49.41854464753906,30.012370432578454,0.025543238231263525,158.33242412898852,486.0052539830473,0.1027889162042397,1.9453356984998669,0.00018173225365142635,6.285528659556348e-05,7.028608655297238,0.09080879848208379,0.0014050434979288229,,0.125
N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens2.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000,N1000D15.0ac1.0nc20824,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,20824,0.005,5000,10000,2,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.1147972965523324,0.2192466863986788,46000,0.9823075943301306,2.3502992984781538e-05,2.2604108865867322e-05,171.47921830766097,330.9344377366144,0.08481971060405012,50.352260028225544,33.73800382418263,0.027082296991317666,161.61454236436927,462.1096985599109,0.10023014219907105,1.9471714146779755,0.00020742479750244394,6.715156556095311e-05,7.015165527758391,0.09288429721205675,0.0014210094122000063,,0.125
N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens3.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000,N1000D15.0ac1.0nc20824,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,20824,0.005,5000,10000,3,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.1147972965523324,0.2192466863986788,46000,0.981829318955391,2.3697367302392904e-05,2.2697386592403594e-05,169.6175407401375,349.76326861955306,0.08719928105185384,49.715556523531106,34.13962760487226,0.02724301657099451,160.8785003146296,442.23818556205646,0.09805142834742804,1.945749430133696,0.0002091291119335509,6.74268779973225e-05,7.020050679745881,0.09246422335041253,0.0014177924779612658,,0.125
N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens4.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump5000adump10000,N1000D15.0ac1.0nc20824,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,20824,0.005,5000,10000,4,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.1147972965523324,0.2192466863986788,46000,0.981249506633591,3.735491478591272e-05,2.8497035264152277e-05,169.20589059249215,452.79497786607317,0.09921483293833377,49.482109474365394,48.17998188733085,0.03236377110994279,160.1242323066048,600.0926300551155,0.11421810522652028,1.9440360602685365,0.00032908754591396154,8.458269688229403e-05,7.027038466090741,0.09473497347472623,0.0014350960653759241,,0.125
N1000epsilon5.0r8.0lz308.5sig1.0nc31236dt0.005bdump5000adump10000ens1.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc31236dt0.005bdump5000adump10000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc31236dt0.005bdump5000adump10000,N1000D15.0ac1.0nc31236,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,31236,0.005,5000,10000,1,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.1721959448284986,0.3288700295980182,46000,0.9816671043910156,2.4273551920857154e-05,2.2971664785235328e-05,168.3961631471385,322.15584918416886,0.08368715717849651,49.42726185156473,34.46855143290455,0.02737394062493755,160.09697133172077,400.1870338775922,0.09327329337056968,1.9452672673553373,0.00021417750168761188,6.823586934805107e-05,7.009379319232443,0.09747715353904436,0.0014557179063629775,,0.175
N1000epsilon5.0r8.0lz308.5sig1.0nc31236dt0.005bdump5000adump10000ens2.j02,N1000epsilon5.0r8.0lz308.5sig1.0nc31236dt0.005bdump5000adump10000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc31236dt0.005bdump5000adump10000,N1000D15.0ac1.0nc31236,N1000D15.0ac1.0,1000,5.0,15.0,617.0,1.0,31236,0.005,5000,10000,2,1.0,1.0,1.0,1.0,1.0,0.0055127399420059,0.0105285577410045,0.1721959448284986,0.3288700295980182,46000,0.9789481578612426,3.902336770627975e-05,2.9126491773254316e-05,160.02025085615074,314.21518226252954,0.08264933956124507,46.450486093061045,32.2599390683729,0.026482414339988526,150.39494214945253,422.77809864529416,0.09586984946466094,1.9372008145976924,0.0003422801854017317,8.62614360959057e-05,7.045491248379583,0.09483962935834551,0.001435888538230807,,0.175
