N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens5,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens6,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens7,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens8,bin_center
178.8810358622109,180.3827915894883,179.08648896349465,179.31240408980986,181.64455064508246,183.06332264091483,182.11349003756013,177.67846397378509,0.05
178.77121985040444,180.23662814869863,179.09408738827804,179.1878480349712,181.46843077367285,182.98624360632465,181.89876095511428,177.48995818707226,0.15000000000000002
178.62019214535238,180.0277738045465,178.76162947571518,178.96485976979233,181.20990312749407,182.79496015074275,181.58428802641325,177.29559557815676,0.25
178.35200407114917,179.65176432768715,178.4014668586424,178.75107673007722,180.9641599668587,182.48464159384946,181.13021653125654,177.03392708266566,0.35000000000000003
178.06429947681465,179.2593227124389,177.98642162597122,178.40076994734395,180.55782664121136,181.9961337138713,180.62975140345986,176.68874260060133,0.45
177.6332068635068,178.81236554695138,177.4447270933163,177.91449231346013,180.05863248229298,181.3989433077199,180.09364830291162,176.21841476744163,0.55
177.04744821521973,178.27039938606674,176.86223987135241,177.32971036265678,179.49257899505503,180.71897689030345,179.44848982863056,175.67511211740447,0.6500000000000001
176.32022470427592,177.59473356515696,176.1683785088782,176.67936613021618,178.85596881498424,179.9836363048565,178.64239823825818,175.01655545275847,0.75
175.45953601353276,176.79217076704714,175.37492051988812,175.93023680439435,178.1533731490409,179.16875709312498,177.75167028729987,174.2405464947974,0.8500000000000001
174.50079545790732,175.91082304438976,174.54232570427146,175.05662047615343,177.30061622606422,178.17080167443913,176.75122362258216,173.33689732925913,0.95
173.47058554782078,174.89359324852538,173.59966548939744,174.03739843213776,176.2780837936686,177.08255883980033,175.67376331396753,172.3262286489316,1.05
172.34774557520564,173.72839825971283,172.49696774000213,172.90703084297095,175.12525365418904,175.8882379631803,174.47797830634107,171.23980811059417,1.1500000000000001
171.11331936153957,172.42470160300215,171.28893720429045,171.64760312738304,173.88106769928154,174.58516771978046,173.1820171744402,170.05750562356067,1.25
169.77973140400812,170.9810583002354,169.98011379750753,170.28384737477967,172.58611990045375,173.14857222547852,171.80991866241195,168.800182327626,1.35
168.39574974592344,169.46578816411863,168.5778538808245,168.79699877746015,171.15842040370046,171.60362483802035,170.36138124166038,167.47863313476225,1.4500000000000002
