lineage_name,whole,ensemble_long,ensemble,space,epsilon_small,epsilon_large,dcyl,dmon_large,nmon_large,mmon_large,nmon_small,dcrowd,ncrowd,lcyl,dt,bdump,adump,ensemble_id,dmon_small,mmon_small,eps_others,mcrowd,dwall,phi_m_bulk,rho_m_bulk,phi_c_bulk,rho_c_bulk,n_frames,asphericityMon-mean,asphericityMon-var,asphericityMon-sem,fsdMon-mean,fsdMon-var,fsdMon-sem,gyrMon-mean,gyrMon-var,gyrMon-sem,shapeMon-mean,shapeMon-var,shapeMon-sem
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,3,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.6605829957578142,0.01137113469958321,0.00047688855510660377,45.87649997228937,35.14383481181496,0.026511821820393622,13.861875118467028,3.4534849104916825,0.008310818143229561,1.073502878643563,0.06684891137035569,0.0011562777466539403
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,4,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.6678659232558481,0.011326860080731952,0.0004759592436486963,46.18318849187744,36.50680527287503,0.027021030799314456,13.98393629951791,3.533793958308301,0.0084068947398053,1.0912611513196782,0.06716170748967983,0.0011589797883455935
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,5,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.6751015519738753,0.009868092960848387,0.00044425427315555193,46.605877409314914,36.218629505776754,0.02691417080490378,14.113165723095756,3.387737732644705,0.008231327636104282,1.107958947151515,0.05936484541409424,0.0010896315470294924
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,6,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.6703907358306122,0.010047402705282838,0.00044827229906124776,46.40721767725595,36.35521025500097,0.026964869832803186,14.030213747822506,3.3421221162409434,0.008175722740211956,1.0963613355769197,0.0607286323667251,0.0011020765160979077
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens7.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens7.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,7,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.6709983058164253,0.011120536859602369,0.0004716044287239544,46.36532431796432,39.60794899167578,0.02814531896840957,14.066170385275303,3.7703976811092295,0.00868377530928712,1.0986096876713978,0.06651999112133931,0.0011534295914475174
epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens8.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000ens8.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc2310lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc2310,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,2310,154.0,0.005,2000,5000,8,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0249999999999999,0.0477464829275686,50001,0.6743979443273289,0.010231971334514874,0.0004523708950521656,46.523151839514476,35.72478436540308,0.026730052138147085,14.103775919490348,3.4134842059157458,0.008262547072078618,1.1065429117379613,0.06154999397506331,0.0011095043395594568
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,1,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.6583079632100478,0.011794003907084705,0.00048567486875655206,45.43053569165433,38.331610096106914,0.02768812384258165,13.807866537463966,3.5469364345219265,0.008422513205121053,1.0677337050690585,0.06902207881863104,0.0011749219448000028
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,2,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.6465923104838668,0.011837332511784667,0.00048656618279088547,44.71656635592874,33.27674179833072,0.025797961856833078,13.558073292531184,3.2228508638681626,0.008028512768711478,1.038651097461504,0.0683259117579553,0.0011689817086503562
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,3,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.662503280945176,0.010973643591407005,0.00046847931846362233,45.85992322298329,34.86162222843424,0.026405159430851477,13.898710737427892,3.3753467404913926,0.008216260390824275,1.0771284511623254,0.06457585475427394,0.0011364493367878213
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,4,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.6537728153446987,0.012299891414552537,0.0004959816814067337,45.31475391785804,36.70774391890663,0.0270952925501485,13.729911675576844,3.4598810186630775,0.00831851070644629,1.0568788490527963,0.07108214439988886,0.0011923266700018822
