space,ensemble,whole,lineage_name,asphericityMon-mean,fsdMon-mean,gyrMon-mean,shapeMon-mean,shapeMon-mean,transSizeMon-mean
N2000D20.0ac2.0,N2000D20.0ac2.0nc0,N2000epsilon5.0r10.5lz504sig2.0nc0dt0.005bdump5000adump10000ens2,N2000epsilon5.0r10.5lz504sig2.0nc0dt0.005bdump5000adump10000ens2.j02,0.9899903855946158,303.67362569062607,88.30233611395161,1.970049672111395,1.970049672111395,9.270415467946426
N2000D20.0ac2.0,N2000D20.0ac2.0nc0,N2000epsilon5.0r10.5lz504sig2.0nc0dt0.005bdump5000adump10000ens3,N2000epsilon5.0r10.5lz504sig2.0nc0dt0.005bdump5000adump10000ens3.j02,0.990107372512704,306.5873906253317,88.77366320882798,1.9703988576519904,1.9703988576519904,9.255109668317049
N2000D20.0ac2.0,N2000D20.0ac2.0nc0,N2000epsilon5.0r10.5lz504sig2.0nc0dt0.005bdump5000adump10000ens4,N2000epsilon5.0r10.5lz504sig2.0nc0dt0.005bdump5000adump10000ens4.j02,0.9911919514895338,318.72806521341073,93.56153550852096,1.973636866657161,1.973636866657161,9.219707614577334
N2000D240.0ac4.0,N2000D240.0ac4.0nc0,N2000epsilon5.0r120.5lz147sig4.0nc0dt0.005bdump5000adump10000ens1,N2000epsilon5.0r120.5lz147sig4.0nc0dt0.005bdump5000adump10000ens1,0.4351370000792379,113.16317514499758,44.2994431383254,0.558445416817597,0.558445416817597,55.11639830919149
N2000D240.0ac8.0,N2000D240.0ac8.0nc0,N2000epsilon5.0r120.5lz147sig8.0nc0dt0.005bdump5000adump10000ens1,N2000epsilon5.0r120.5lz147sig8.0nc0dt0.005bdump5000adump10000ens1,0.4351370000792379,113.16317514499758,44.2994431383254,0.558445416817597,0.558445416817597,55.11639830919149
N2000D25.0ac1.0,N2000D25.0ac1.0nc0,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens1,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens1.j02,0.9785551346717748,257.39274106796927,75.62482253206687,1.9360327601080696,1.9360327601080696,11.573754303559014
N2000D25.0ac1.0,N2000D25.0ac1.0nc0,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens2,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens2.j02,0.9792241508120146,261.3839387034541,76.59020435928794,1.9380167913524724,1.9380167913524724,11.555415595676587
N2000D25.0ac1.0,N2000D25.0ac1.0nc0,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens3,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens3.j02,0.9781557111310166,256.4299206128328,74.82753692662342,1.9348508891457696,1.9348508891457696,11.5770831785824
N2000D25.0ac1.0,N2000D25.0ac1.0nc0,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens4,N2000epsilon5.0r13.0lz431sig1.0nc0dt0.005bdump5000adump10000ens4.j02,0.9796274954360455,260.5989818307628,76.84353344764897,1.9392110756028331,1.9392110756028331,11.54705269403043
N2000D25.0ac2.0,N2000D25.0ac2.0nc0,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens1,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens1.j02,0.9785551346717748,257.39274106796927,75.62482253206687,1.9360327601080696,1.9360327601080696,11.573754303559014
N2000D25.0ac2.0,N2000D25.0ac2.0nc0,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens2,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens2.j02,0.9792241508120146,261.3839387034541,76.59020435928794,1.9380167913524724,1.9380167913524724,11.555415595676587
N2000D25.0ac2.0,N2000D25.0ac2.0nc0,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens3,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens3.j02,0.9781557111310166,256.4299206128328,74.82753692662342,1.9348508891457696,1.9348508891457696,11.5770831785824
N2000D25.0ac2.0,N2000D25.0ac2.0nc0,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens4,N2000epsilon5.0r13.0lz431sig2.0nc0dt0.005bdump5000adump10000ens4.j02,0.9796274954360455,260.5989818307628,76.84353344764897,1.9392110756028331,1.9392110756028331,11.54705269403043
N2000D25.0ac4.0,N2000D25.0ac4.0nc0,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens1,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens1.j02,0.9785551346717748,257.39274106796927,75.62482253206687,1.9360327601080696,1.9360327601080696,11.573754303559014
N2000D25.0ac4.0,N2000D25.0ac4.0nc0,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens2,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens2.j02,0.9792241508120146,261.3839387034541,76.59020435928794,1.9380167913524724,1.9380167913524724,11.555415595676587
N2000D25.0ac4.0,N2000D25.0ac4.0nc0,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens3,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens3.j02,0.9781557111310166,256.4299206128328,74.82753692662342,1.9348508891457696,1.9348508891457696,11.5770831785824
N2000D25.0ac4.0,N2000D25.0ac4.0nc0,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens4,N2000epsilon5.0r13.0lz431sig4.0nc0dt0.005bdump5000adump10000ens4.j02,0.9796274954360455,260.5989818307628,76.84353344764897,1.9392110756028331,1.9392110756028331,11.54705269403043
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens1,,0.959004687750332,223.76693414746603,65.61580768210469,1.878416359287556,1.878416359287556,13.85167081375758
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens2,,0.9567340369707416,220.0556066003418,64.23117455194607,1.8717769699146172,1.8717769699146172,13.885034618991217
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens3,,0.9621012672421994,231.66055796010335,68.02303389976557,1.8875187198445256,1.8875187198445256,13.789864118560155
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens4,,0.95798657757993,223.82191162366232,65.47552500182701,1.8754615996797623,1.8754615996797623,13.857272102257411
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens5,,0.9580324285725712,222.36592460472107,65.25055817992838,1.8756149680846597,1.8756149680846597,13.86955223007838
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens6,,0.9624475773672196,234.2373617568461,68.9793256024405,1.8885864414501776,1.8885864414501776,13.79604792637507
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens7,,0.957796576792212,222.9768551467387,64.97472055838192,1.874882647288448,1.874882647288448,13.850248154036205
N2000D30.0ac4.0,N2000D30.0ac4.0nc0,N2000epsilon5.0r15.5lz379.5sig4.0nc0dt0.005bdump1000adump5000ens8,,0.957817643173008,221.82959858510335,64.47329597169878,1.8749279535564267,1.8749279535564267,13.814370363092422
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens1,,0.959004687750332,223.76693414746603,65.61580768210469,1.878416359287556,1.878416359287556,13.85167081375758
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens2,,0.9567340369707416,220.0556066003418,64.23117455194607,1.8717769699146172,1.8717769699146172,13.885034618991217
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens3,,0.9621012672421994,231.66055796010335,68.02303389976557,1.8875187198445256,1.8875187198445256,13.789864118560155
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens4,,0.95798657757993,223.82191162366232,65.47552500182701,1.8754615996797623,1.8754615996797623,13.857272102257411
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens5,,0.9580324285725712,222.36592460472107,65.25055817992838,1.8756149680846597,1.8756149680846597,13.86955223007838
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens6,,0.9624475773672196,234.2373617568461,68.9793256024405,1.8885864414501776,1.8885864414501776,13.79604792637507
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens7,,0.957796576792212,222.9768551467387,64.97472055838192,1.874882647288448,1.874882647288448,13.850248154036205
N2000D30.0ac6.0,N2000D30.0ac6.0nc0,N2000epsilon5.0r15.5lz379.5sig6.0nc0dt0.005bdump1000adump5000ens8,,0.957817643173008,221.82959858510335,64.47329597169878,1.8749279535564267,1.8749279535564267,13.814370363092422
N2000D60.0ac4.0,N2000D60.0ac4.0nc0,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens1,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens1,0.729837528648633,152.5515970542362,46.57289886733796,1.2559273462021772,1.2559273462021772,26.516459010624512
N2000D60.0ac4.0,N2000D60.0ac4.0nc0,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens2,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens2,0.6734570671873767,142.07635878162407,42.801748469468194,1.116210998634269,1.116210998634269,26.77696512853326
N2000D60.0ac4.0,N2000D60.0ac4.0nc0,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens3,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens3,0.6368897433941344,132.10006472140208,39.94833498141369,1.0299962283155433,1.0299962283155433,26.841753163176143
N2000D60.0ac4.0,N2000D60.0ac4.0nc0,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens4,N2000epsilon5.0r30.5lz233.5sig4.0nc0dt0.005bdump5000adump10000ens4,0.6886848199532567,147.8712060184841,44.81008641617712,1.162092702467306,1.162092702467306,26.4995149891944
N2000D60.0ac6.0,N2000D60.0ac6.0nc0,N2000epsilon5.0r30.5lz233.5sig6.0nc0dt0.005bdump5000adump10000ens1,N2000epsilon5.0r30.5lz233.5sig6.0nc0dt0.005bdump5000adump10000ens1,0.729837528648633,152.5515970542362,46.57289886733796,1.2559273462021772,1.2559273462021772,26.516459010624512
