ntransfroms,bsize,nblocks,var,var_err,sem,sem_err,si,si_err
0.0,1.0,142265.0,1.4159881963389265,0.005309176008301823,0.0031548650173356344,5.914503278620517e-06,1.0,0.0037494493400642977
1.0,2.0,71132.0,1.3779473053060114,0.00730664741020872,0.004401328611440718,1.1669153158624986e-05,1.9462694800263578,0.005160104744587732
2.0,4.0,35566.0,1.3140804113489308,0.009854294398541373,0.006078458537704606,2.2791192762085613e-05,3.712122501434741,0.013918610937605132
3.0,8.0,17783.0,1.2111522084141155,0.012844683878623975,0.008252715020064052,4.3761434292348696e-05,6.842724884546809,0.03628472020270856
4.0,16.0,8891.0,1.0626869612076706,0.015939308242479418,0.01093269848713084,8.199011443145626e-05,12.007862370099128,0.09005333961789178
5.0,32.0,4445.0,0.8790474077291008,0.0186483439301992,0.014062750322064319,0.00014916545018195,19.8656437391645,0.21071750714775694
6.0,64.0,2222.0,0.6781166435205495,0.020349096076699442,0.01746948791135664,0.00026211441004704014,30.649595312676748,0.45987041144693264
7.0,128.0,1111.0,0.5047845172981339,0.021426909447596815,0.02131552252979955,0.00045239677072392764,45.63061922494707,0.9684559576074042
8.0,256.0,555.0,0.355298470140342,0.021347816101162487,0.02530172768164838,0.0007601167398443473,64.23528712393059,1.9297621745815392
9.0,512.0,277.0,0.24721168455152587,0.021044056095435804,0.029874085007907107,0.0012715254981711473,89.3880209013305,3.804606828192856
10.0,1024.0,138.0,0.1447784142200084,0.017492767733522985,0.03239010564390381,0.0019567578424780747,104.69938700379053,6.325121284711626
11.0,2048.0,69.0,0.06114287396877816,0.01048591637719219,0.029767912393098072,0.002552577429031237,88.4333684502588,7.583098784302782
12.0,4096.0,34.0,0.039300683218540196,0.009675159387753108,0.033998565375676124,0.0041849341032502915,113.68427991091109,13.99356751514585
13.0,8192.0,17.0,0.027418750196639682,0.009693992097851952,0.040160523634856456,0.007099444649552404,158.62731214258602,28.04161202435444
14.0,16384.0,8.0,0.024143077510160014,0.012905017757906577,0.054935277270347894,0.014682070428076559,279.3527396267798,74.6601601242913
15.0,32768.0,4.0,0.009154092990255455,0.007474285628038042,0.047838512179664026,0.01952999081568253,211.83885563470682,86.48285066669014
16.0,65536.0,2.0,0.0047254377955665465,0.006682778218640631,0.0486078069633189,0.034370909922369484,218.70683115223065,154.64908339956355
